Unnamed: 0,projectID,condition,reference_condition,title,geo_accession,status,submission_date,last_update_date
GSM210281,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 13,GSM210281,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210282,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 14,GSM210282,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210283,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 15,GSM210283,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM228969,102625,2426_aerobic_PSY,110spc4_aerobic _PSY,2426 aerobic PSY rep_1,GSM228969,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228970,102625,2426_aerobic_PSY,110spc4_aerobic _PSY,2426 aerobic PSY rep_2,GSM228970,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228971,102625,2426_aerobic_PSY,110spc4_aerobic _PSY,2426 aerobic PSY rep_3,GSM228971,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228972,102625,2426_aerobic_PSY,110spc4_aerobic _PSY,2426 aerobic PSY rep_4,GSM228972,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228973,102625,2426_aerobic_PSY,110spc4_aerobic _PSY,2426 aerobic PSY rep_5,GSM228973,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228974,102625,2426_aerobic_PSY,110spc4_aerobic _PSY,2426 aerobic PSY rep_6,GSM228974,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228975,102625,2426_aerobic_PSY,110spc4_aerobic _PSY,2426 aerobic PSY rep_7,GSM228975,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228976,102625,2426_aerobic_PSY,110spc4_aerobic _PSY,2426 aerobic PSY rep_8,GSM228976,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228987,102625,2426_micro_PSY,110spc4_aerobic _PSY,2426 micro PSY rep_1,GSM228987,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228988,102625,2426_micro_PSY,110spc4_aerobic _PSY,2426 micro PSY rep_2,GSM228988,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228989,102625,2426_micro_PSY,110spc4_aerobic _PSY,2426 micro PSY rep_3,GSM228989,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228990,102625,2426_micro_PSY,110spc4_aerobic _PSY,2426 micro PSY rep_4,GSM228990,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM228991,102625,2426_micro_PSY,110spc4_aerobic _PSY,2426 micro PSY rep_5,GSM228991,Public on Nov 15 2007,Sep 12 2007,Aug 14 2011
GSM313721,102625,7360_microaerobiosis_PSY,110spc4_aerobic _PSY,7360 microaerobiosis PSY 1,GSM313721,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313722,102625,7360_microaerobiosis_PSY,110spc4_aerobic _PSY,7360 microaerobiosis PSY 2,GSM313722,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313723,102625,7360_microaerobiosis_PSY,110spc4_aerobic _PSY,7360 microaerobiosis PSY 3,GSM313723,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313724,102625,7360_microaerobiosis_PSY,110spc4_aerobic _PSY,7360 microaerobiosis PSY 4,GSM313724,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313725,102625,7360_microaerobiosis_PSY,110spc4_aerobic _PSY,7360 microaerobiosis PSY 5,GSM313725,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313726,102625,7360_microaerobiosis_PSY,110spc4_aerobic _PSY,7360 microaerobiosis PSY 6,GSM313726,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313727,102625,9043_microaerobiosis_PSY,110spc4_aerobic _PSY,9043 microaerobiosis PSY 1,GSM313727,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
GSM313728,102625,9043_microaerobiosis_PSY,110spc4_aerobic _PSY,9043 microaerobiosis PSY 2,GSM313728,Public on Aug 21 2008,Aug 19 2008,Aug 21 2008
